dataset,error_message
127401,No missing values in RT
127401,Loading /autofs/space/transcend/MEG/AttenVis/127401/visit_20231103/127401_AttenVis_run02_behaviour.mat
127401,No missing values in RT
127401,Loading /autofs/space/transcend/MEG/AttenVis/127401/visit_20231103/127401_AttenVis_run03_behaviour.mat
127401,No missing values in RT
127601,Loading /autofs/space/transcend/MEG/AttenVis/127601/visit_20231025/127601_AttenVis_run01_behaviour.mat
127601,No missing values in RT
127601,Loading /autofs/space/transcend/MEG/AttenVis/127601/visit_20231025/127601_AttenVis_run02_behaviour.mat
127601,No missing values in RT
127601,Loading /autofs/space/transcend/MEG/AttenVis/127601/visit_20231025/127601_AttenVis_run03_behaviour.mat
127601,No missing values in RT
127801,Loading /autofs/space/transcend/MEG/AttenVis/127801/visit_20240225/127801_AttenVis_run01_behaviour.mat
127801,No missing values in RT
127801,Loading /autofs/space/transcend/MEG/AttenVis/127801/visit_20240225/127801_AttenVis_run02_behaviour.mat
127801,No missing values in RT
127801,Loading /autofs/space/transcend/MEG/AttenVis/127801/visit_20240225/127801_AttenVis_run03_behaviour.mat
127801,No missing values in RT
130001,Loading /autofs/space/transcend/MEG/AttenVis/130001/visit_20240123/130001_AttenVis_run01_behaviour.mat
130001,No missing values in RT
130001,Loading /autofs/space/transcend/MEG/AttenVis/130001/visit_20240123/130001_AttenVis_run02_behaviour.mat
130001,No missing values in RT
130001,Loading /autofs/space/transcend/MEG/AttenVis/130001/visit_20240123/130001_AttenVis_run03_behaviour.mat
130001,No missing values in RT
130901,Loading /autofs/space/transcend/MEG/AttenVis/130901/visit_20240229/130901_AttenVis_run01_behaviour.mat
130901,No missing values in RT
130901,Loading /autofs/space/transcend/MEG/AttenVis/130901/visit_20240229/130901_AttenVis_run02_behaviour.mat
130901,No missing values in RT
